Date,Close,date
12/1/2021 16:00:00,3443.72,12/1/2021
12/2/2021 16:00:00,3437.36,12/2/2021
12/3/2021 16:00:00,3389.79,12/3/2021
12/6/2021 16:00:00,3427.37,12/6/2021
12/7/2021 16:00:00,3523.29,12/7/2021
12/8/2021 16:00:00,3523.16,12/8/2021
12/9/2021 16:00:00,3483.42,12/9/2021
12/10/2021 16:00:00,3444.24,12/10/2021
12/13/2021 16:00:00,3391.35,12/13/2021
12/14/2021 16:00:00,3381.83,12/14/2021
12/15/2021 16:00:00,3466.3,12/15/2021
12/16/2021 16:00:00,3377.42,12/16/2021
12/17/2021 16:00:00,3400.35,12/17/2021
12/20/2021 16:00:00,3341.58,12/20/2021
12/21/2021 16:00:00,3408.34,12/21/2021
12/22/2021 16:00:00,3420.74,12/22/2021
12/23/2021 16:00:00,3421.37,12/23/2021
12/27/2021 16:00:00,3393.39,12/27/2021
12/28/2021 16:00:00,3413.22,12/28/2021
12/29/2021 16:00:00,3384.02,12/29/2021
12/30/2021 16:00:00,3372.89,12/30/2021
12/31/2021 16:00:00,3334.34,12/31/2021
1/3/2022 16:00:00,3408.09,1/3/2022
1/4/2022 16:00:00,3350.44,1/4/2022
1/5/2022 16:00:00,3287.14,1/5/2022
1/6/2022 16:00:00,3265.08,1/6/2022
1/7/2022 16:00:00,3251.08,1/7/2022
1/10/2022 16:00:00,3229.72,1/10/2022
1/11/2022 16:00:00,3307.24,1/11/2022
1/12/2022 16:00:00,3304.14,1/12/2022
1/13/2022 16:00:00,3224.28,1/13/2022
1/14/2022 16:00:00,3242.76,1/14/2022
1/18/2022 16:00:00,3178.35,1/18/2022
1/19/2022 16:00:00,3125.98,1/19/2022
1/20/2022 16:00:00,3033.35,1/20/2022
1/21/2022 16:00:00,2852.86,1/21/2022
1/24/2022 16:00:00,2890.88,1/24/2022
1/25/2022 16:00:00,2799.72,1/25/2022
1/26/2022 16:00:00,2777.45,1/26/2022
1/27/2022 16:00:00,2792.75,1/27/2022
1/28/2022 16:00:00,2879.56,1/28/2022
