Date,Close,date
12/1/2015 16:00:00,767.04,12/1/2015
12/2/2015 16:00:00,762.38,12/2/2015
12/3/2015 16:00:00,752.54,12/3/2015
12/4/2015 16:00:00,766.81,12/4/2015
12/7/2015 16:00:00,763.25,12/7/2015
12/8/2015 16:00:00,762.37,12/8/2015
12/9/2015 16:00:00,751.61,12/9/2015
12/10/2015 16:00:00,749.46,12/10/2015
12/11/2015 16:00:00,738.87,12/11/2015
12/14/2015 16:00:00,747.77,12/14/2015
12/15/2015 16:00:00,743.4,12/15/2015
12/16/2015 16:00:00,758.09,12/16/2015
12/17/2015 16:00:00,749.43,12/17/2015
12/18/2015 16:00:00,739.31,12/18/2015
12/21/2015 16:00:00,747.77,12/21/2015
12/22/2015 16:00:00,750,12/22/2015
12/23/2015 16:00:00,750.31,12/23/2015
12/24/2015 16:00:00,748.4,12/24/2015
12/28/2015 16:00:00,762.51,12/28/2015
12/29/2015 16:00:00,776.6,12/29/2015
12/30/2015 16:00:00,771,12/30/2015
12/31/2015 16:00:00,758.88,12/31/2015
1/4/2016 16:00:00,741.84,1/4/2016
1/5/2016 16:00:00,742.58,1/5/2016
1/6/2016 16:00:00,743.62,1/6/2016
1/7/2016 16:00:00,726.39,1/7/2016
1/8/2016 16:00:00,714.47,1/8/2016
1/11/2016 16:00:00,716.03,1/11/2016
1/12/2016 16:00:00,726.07,1/12/2016
1/13/2016 16:00:00,700.56,1/13/2016
1/14/2016 16:00:00,714.72,1/14/2016
1/15/2016 16:00:00,694.45,1/15/2016
1/19/2016 16:00:00,701.79,1/19/2016
1/20/2016 16:00:00,698.45,1/20/2016
1/21/2016 16:00:00,706.59,1/21/2016
1/22/2016 16:00:00,725.25,1/22/2016
1/25/2016 16:00:00,711.67,1/25/2016
1/26/2016 16:00:00,713.04,1/26/2016
1/27/2016 16:00:00,699.99,1/27/2016
1/28/2016 16:00:00,730.96,1/28/2016
1/29/2016 16:00:00,742.95,1/29/2016
2/1/2016 16:00:00,752,2/1/2016
2/2/2016 16:00:00,764.65,2/2/2016
2/3/2016 16:00:00,726.95,2/3/2016
2/4/2016 16:00:00,708.01,2/4/2016
2/5/2016 16:00:00,683.57,2/5/2016
2/8/2016 16:00:00,682.74,2/8/2016
2/9/2016 16:00:00,678.11,2/9/2016
2/10/2016 16:00:00,684.12,2/10/2016
2/11/2016 16:00:00,683.11,2/11/2016
2/12/2016 16:00:00,682.4,2/12/2016
2/16/2016 16:00:00,691,2/16/2016
2/17/2016 16:00:00,708.4,2/17/2016
2/18/2016 16:00:00,697.35,2/18/2016
2/19/2016 16:00:00,700.91,2/19/2016
2/22/2016 16:00:00,706.46,2/22/2016
2/23/2016 16:00:00,695.85,2/23/2016
2/24/2016 16:00:00,699.56,2/24/2016
2/25/2016 16:00:00,705.75,2/25/2016
2/26/2016 16:00:00,705.07,2/26/2016
2/29/2016 16:00:00,697.77,2/29/2016
3/1/2016 16:00:00,718.81,3/1/2016
3/2/2016 16:00:00,718.85,3/2/2016
3/3/2016 16:00:00,712.42,3/3/2016
3/4/2016 16:00:00,710.89,3/4/2016
3/7/2016 16:00:00,695.16,3/7/2016
3/8/2016 16:00:00,693.97,3/8/2016
3/9/2016 16:00:00,705.24,3/9/2016
3/10/2016 16:00:00,712.82,3/10/2016
3/11/2016 16:00:00,726.82,3/11/2016
3/14/2016 16:00:00,730.49,3/14/2016
3/15/2016 16:00:00,728.33,3/15/2016
3/16/2016 16:00:00,736.09,3/16/2016
3/17/2016 16:00:00,737.78,3/17/2016
3/18/2016 16:00:00,737.6,3/18/2016
3/21/2016 16:00:00,742.09,3/21/2016
3/22/2016 16:00:00,740.75,3/22/2016
3/23/2016 16:00:00,738.06,3/23/2016
3/24/2016 16:00:00,735.3,3/24/2016
3/28/2016 16:00:00,733.53,3/28/2016
3/29/2016 16:00:00,744.77,3/29/2016
3/30/2016 16:00:00,750.53,3/30/2016
3/31/2016 16:00:00,744.95,3/31/2016
4/1/2016 16:00:00,749.91,4/1/2016
4/4/2016 16:00:00,745.29,4/4/2016
4/5/2016 16:00:00,737.8,4/5/2016
4/6/2016 16:00:00,745.69,4/6/2016
4/7/2016 16:00:00,740.28,4/7/2016
4/8/2016 16:00:00,739.15,4/8/2016
4/11/2016 16:00:00,736.1,4/11/2016
4/12/2016 16:00:00,743.09,4/12/2016
4/13/2016 16:00:00,751.72,4/13/2016
4/14/2016 16:00:00,753.2,4/14/2016
4/15/2016 16:00:00,759,4/15/2016
4/18/2016 16:00:00,766.61,4/18/2016
4/19/2016 16:00:00,753.93,4/19/2016
4/20/2016 16:00:00,752.67,4/20/2016
4/21/2016 16:00:00,759.14,4/21/2016
4/22/2016 16:00:00,718.77,4/22/2016
4/25/2016 16:00:00,723.15,4/25/2016
4/26/2016 16:00:00,708.14,4/26/2016
4/27/2016 16:00:00,705.84,4/27/2016
4/28/2016 16:00:00,691.02,4/28/2016
4/29/2016 16:00:00,693.01,4/29/2016
5/2/2016 16:00:00,698.21,5/2/2016
5/3/2016 16:00:00,692.36,5/3/2016
5/4/2016 16:00:00,695.7,5/4/2016
5/5/2016 16:00:00,701.43,5/5/2016
5/6/2016 16:00:00,711.12,5/6/2016
5/9/2016 16:00:00,712.9,5/9/2016
5/10/2016 16:00:00,723.18,5/10/2016
5/11/2016 16:00:00,715.29,5/11/2016
5/12/2016 16:00:00,713.31,5/12/2016
5/13/2016 16:00:00,710.83,5/13/2016
5/16/2016 16:00:00,716.49,5/16/2016
5/17/2016 16:00:00,706.23,5/17/2016
5/18/2016 16:00:00,706.63,5/18/2016
5/19/2016 16:00:00,700.32,5/19/2016
5/20/2016 16:00:00,709.74,5/20/2016
5/23/2016 16:00:00,704.24,5/23/2016
5/24/2016 16:00:00,720.09,5/24/2016
5/25/2016 16:00:00,725.27,5/25/2016
5/26/2016 16:00:00,724.12,5/26/2016
5/27/2016 16:00:00,732.66,5/27/2016
5/31/2016 16:00:00,735.72,5/31/2016
6/1/2016 16:00:00,734.15,6/1/2016
6/2/2016 16:00:00,730.4,6/2/2016
6/3/2016 16:00:00,722.34,6/3/2016
6/6/2016 16:00:00,716.55,6/6/2016
6/7/2016 16:00:00,716.65,6/7/2016
6/8/2016 16:00:00,728.28,6/8/2016
6/9/2016 16:00:00,728.58,6/9/2016
6/10/2016 16:00:00,719.41,6/10/2016
6/13/2016 16:00:00,718.36,6/13/2016
6/14/2016 16:00:00,718.27,6/14/2016
6/15/2016 16:00:00,718.92,6/15/2016
6/16/2016 16:00:00,710.36,6/16/2016
6/17/2016 16:00:00,691.72,6/17/2016
6/20/2016 16:00:00,693.71,6/20/2016
6/21/2016 16:00:00,695.94,6/21/2016
6/22/2016 16:00:00,697.46,6/22/2016
6/23/2016 16:00:00,701.87,6/23/2016
6/24/2016 16:00:00,675.22,6/24/2016
6/27/2016 16:00:00,668.26,6/27/2016
6/28/2016 16:00:00,680.04,6/28/2016
6/29/2016 16:00:00,684.11,6/29/2016
6/30/2016 16:00:00,692.1,6/30/2016
7/1/2016 16:00:00,699.21,7/1/2016
7/5/2016 16:00:00,694.49,7/5/2016
7/6/2016 16:00:00,697.77,7/6/2016
7/7/2016 16:00:00,695.36,7/7/2016
7/8/2016 16:00:00,705.63,7/8/2016
7/11/2016 16:00:00,715.09,7/11/2016
7/12/2016 16:00:00,720.64,7/12/2016
7/13/2016 16:00:00,716.98,7/13/2016
7/14/2016 16:00:00,720.95,7/14/2016
7/15/2016 16:00:00,719.85,7/15/2016
7/18/2016 16:00:00,733.78,7/18/2016
7/19/2016 16:00:00,736.96,7/19/2016
7/20/2016 16:00:00,741.19,7/20/2016
7/21/2016 16:00:00,738.63,7/21/2016
7/22/2016 16:00:00,742.74,7/22/2016
7/25/2016 16:00:00,739.77,7/25/2016
7/26/2016 16:00:00,738.42,7/26/2016
7/27/2016 16:00:00,741.77,7/27/2016
7/28/2016 16:00:00,745.91,7/28/2016
7/29/2016 16:00:00,768.79,7/29/2016
8/1/2016 16:00:00,772.88,8/1/2016
8/2/2016 16:00:00,771.07,8/2/2016
8/3/2016 16:00:00,773.18,8/3/2016
8/4/2016 16:00:00,771.61,8/4/2016
8/5/2016 16:00:00,782.22,8/5/2016
8/8/2016 16:00:00,781.76,8/8/2016
8/9/2016 16:00:00,784.26,8/9/2016
8/10/2016 16:00:00,784.68,8/10/2016
8/11/2016 16:00:00,784.85,8/11/2016
8/12/2016 16:00:00,783.22,8/12/2016
8/15/2016 16:00:00,782.44,8/15/2016
8/16/2016 16:00:00,777.14,8/16/2016
8/17/2016 16:00:00,779.91,8/17/2016
8/18/2016 16:00:00,777.5,8/18/2016
8/19/2016 16:00:00,775.42,8/19/2016
8/22/2016 16:00:00,772.15,8/22/2016
8/23/2016 16:00:00,772.08,8/23/2016
8/24/2016 16:00:00,769.64,8/24/2016
8/25/2016 16:00:00,769.41,8/25/2016
8/26/2016 16:00:00,769.54,8/26/2016
8/29/2016 16:00:00,772.15,8/29/2016
8/30/2016 16:00:00,769.09,8/30/2016
8/31/2016 16:00:00,767.05,8/31/2016
9/1/2016 16:00:00,768.78,9/1/2016
9/2/2016 16:00:00,771.46,9/2/2016
9/6/2016 16:00:00,780.08,9/6/2016
9/7/2016 16:00:00,780.35,9/7/2016
9/8/2016 16:00:00,775.32,9/8/2016
9/9/2016 16:00:00,759.66,9/9/2016
9/12/2016 16:00:00,769.02,9/12/2016
9/13/2016 16:00:00,759.69,9/13/2016
9/14/2016 16:00:00,762.49,9/14/2016
9/15/2016 16:00:00,771.76,9/15/2016
9/16/2016 16:00:00,768.88,9/16/2016
9/19/2016 16:00:00,765.7,9/19/2016
9/20/2016 16:00:00,771.41,9/20/2016
9/21/2016 16:00:00,776.22,9/21/2016
9/22/2016 16:00:00,787.21,9/22/2016
9/23/2016 16:00:00,786.9,9/23/2016
9/26/2016 16:00:00,774.21,9/26/2016
9/27/2016 16:00:00,783.01,9/27/2016
9/28/2016 16:00:00,781.56,9/28/2016
9/29/2016 16:00:00,775.01,9/29/2016
9/30/2016 16:00:00,777.29,9/30/2016
10/3/2016 16:00:00,772.56,10/3/2016
10/4/2016 16:00:00,776.43,10/4/2016
10/5/2016 16:00:00,776.47,10/5/2016
10/6/2016 16:00:00,776.86,10/6/2016
10/7/2016 16:00:00,775.08,10/7/2016
10/10/2016 16:00:00,785.94,10/10/2016
10/11/2016 16:00:00,783.07,10/11/2016
10/12/2016 16:00:00,786.14,10/12/2016
10/13/2016 16:00:00,778.19,10/13/2016
10/14/2016 16:00:00,778.53,10/14/2016
10/17/2016 16:00:00,779.96,10/17/2016
10/18/2016 16:00:00,795.26,10/18/2016
10/19/2016 16:00:00,801.56,10/19/2016
10/20/2016 16:00:00,796.97,10/20/2016
10/21/2016 16:00:00,799.37,10/21/2016
10/24/2016 16:00:00,813.11,10/24/2016
10/25/2016 16:00:00,807.67,10/25/2016
10/26/2016 16:00:00,799.07,10/26/2016
10/27/2016 16:00:00,795.35,10/27/2016
10/28/2016 16:00:00,795.37,10/28/2016
10/31/2016 16:00:00,784.54,10/31/2016
11/1/2016 16:00:00,783.61,11/1/2016
11/2/2016 16:00:00,768.7,11/2/2016
11/3/2016 16:00:00,762.13,11/3/2016
11/4/2016 16:00:00,762.02,11/4/2016
11/7/2016 16:00:00,782.52,11/7/2016
11/8/2016 16:00:00,790.51,11/8/2016
11/9/2016 16:00:00,785.31,11/9/2016
11/10/2016 16:00:00,762.56,11/10/2016
11/11/2016 16:00:00,754.02,11/11/2016
11/14/2016 16:00:00,736.08,11/14/2016
11/15/2016 16:00:00,758.49,11/15/2016
11/16/2016 16:00:00,764.48,11/16/2016
11/17/2016 16:00:00,771.23,11/17/2016
11/18/2016 16:00:00,760.54,11/18/2016
11/21/2016 16:00:00,769.2,11/21/2016
11/22/2016 16:00:00,768.27,11/22/2016
11/23/2016 16:00:00,760.99,11/23/2016
